id,createdAt,updatedAt,pushedAt,diskUsage,isInOrganization,name,nameWithOwner,sshUrl,stargazerCount
R_kgDOIiLDTQ,2022-11-30T21:13:26Z,2026-05-06T19:13:32Z,2026-04-29T18:23:13Z,13188,True,HomeStore,eBay/HomeStore,git@github.com:eBay/HomeStore.git,28
R_kgDOIhVwuQ,2022-11-29T01:10:42Z,2026-05-05T23:07:12Z,2026-04-21T04:44:58Z,772,True,safe-arithmetic,intel/safe-arithmetic,git@github.com:intel/safe-arithmetic.git,100
R_kgDOIhNkqg,2022-11-28T17:32:04Z,2026-03-19T15:00:49Z,2026-03-19T14:57:32Z,171,True,ZTL,ZIMO-Elektronik/ZTL,git@github.com:ZIMO-Elektronik/ZTL.git,0
R_kgDOIfqD_w,2022-11-24T09:03:22Z,2026-05-07T06:32:19Z,2026-05-04T21:06:23Z,45472,True,linyaps,OpenAtom-Linyaps/linyaps,git@github.com:OpenAtom-Linyaps/linyaps.git,192
R_kgDOIfftdw,2022-11-23T21:39:32Z,2026-04-27T14:04:13Z,2026-05-03T01:12:34Z,197140,True,VulkanSC-ValidationLayers,KhronosGroup/VulkanSC-ValidationLayers,git@github.com:KhronosGroup/VulkanSC-ValidationLayers.git,6
R_kgDOIfdWhg,2022-11-23T19:19:42Z,2026-04-26T16:51:42Z,2026-04-06T13:36:16Z,18248,True,minimalloc,google/minimalloc,git@github.com:google/minimalloc.git,184
R_kgDOIe_WGQ,2022-11-22T17:00:16Z,2026-03-07T06:25:11Z,2026-03-07T06:25:08Z,215627,False,Personal-Game-Engine,bradgeley/Personal-Game-Engine,git@github.com:bradgeley/Personal-Game-Engine.git,0
R_kgDOIeQXbw,2022-11-21T01:40:52Z,2026-04-28T15:56:42Z,2026-04-28T15:56:38Z,1379,False,libobjs,tjringrose01/libobjs,git@github.com:tjringrose01/libobjs.git,1
R_kgDOIeA87Q,2022-11-20T08:20:01Z,2026-05-07T01:40:31Z,2026-05-07T01:40:27Z,94795,True,gobot,RobSimulatorGroup/gobot,git@github.com:RobSimulatorGroup/gobot.git,15
R_kgDOIdcAQg,2022-11-18T13:12:45Z,2026-05-06T06:42:30Z,2026-05-06T06:42:25Z,1524,True,fixposition-sdk,fixposition/fixposition-sdk,git@github.com:fixposition/fixposition-sdk.git,6
R_kgDOIdYS5g,2022-11-18T10:15:32Z,2026-05-06T06:32:13Z,2026-05-06T06:33:29Z,2117,False,icubaby,paulhuggett/icubaby,git@github.com:paulhuggett/icubaby.git,0
R_kgDOIcEECQ,2022-11-15T11:32:05Z,2026-04-10T11:20:01Z,2026-04-10T11:19:57Z,156,False,laser_segmentation,ajtudela/laser_segmentation,git@github.com:ajtudela/laser_segmentation.git,38
R_kgDOIbkb_g,2022-11-14T10:05:00Z,2026-05-02T01:02:06Z,2026-05-06T21:00:24Z,114302,True,apt,live-clones/apt,git@github.com:live-clones/apt.git,2
R_kgDOIawdyw,2022-11-11T20:53:14Z,2026-04-28T01:38:05Z,2026-04-15T19:23:19Z,483,True,ml_dtypes,jax-ml/ml_dtypes,git@github.com:jax-ml/ml_dtypes.git,342
R_kgDOIaj21w,2022-11-11T10:43:56Z,2026-05-02T07:28:41Z,2026-05-04T10:48:01Z,70217,True,dgtd,OpenSEMBA/dgtd,git@github.com:OpenSEMBA/dgtd.git,31
R_kgDOIaju3w,2022-11-11T10:38:06Z,2026-04-02T10:15:37Z,2026-04-02T10:15:30Z,8823,True,core,OpenSEMBA/core,git@github.com:OpenSEMBA/core.git,0
R_kgDOIafkQg,2022-11-11T07:11:42Z,2026-04-23T12:24:24Z,2026-04-23T12:24:02Z,20665,True,sonic-cpp,bytedance/sonic-cpp,git@github.com:bytedance/sonic-cpp.git,971
R_kgDOIZlVhg,2022-11-09T06:17:13Z,2026-04-25T19:45:46Z,2026-04-30T02:38:22Z,42282,False,ashura,lamarrr/ashura,git@github.com:lamarrr/ashura.git,50
R_kgDOIZjx0w,2022-11-09T04:40:29Z,2026-05-06T09:22:39Z,2026-05-06T09:37:01Z,110834,True,pyroscope-dotnet,grafana/pyroscope-dotnet,git@github.com:grafana/pyroscope-dotnet.git,36
R_kgDOIZY5jQ,2022-11-08T18:20:39Z,2026-04-22T09:27:54Z,2026-05-07T10:52:51Z,1178,False,flatflow,9rum/flatflow,git@github.com:9rum/flatflow.git,12
R_kgDOIZUiRQ,2022-11-08T15:22:52Z,2026-04-29T16:01:11Z,2026-04-29T16:01:10Z,36808,False,lahuta,bisejdiu/lahuta,git@github.com:bisejdiu/lahuta.git,8
R_kgDOIYqcng,2022-11-07T06:15:22Z,2026-04-10T09:37:54Z,2026-04-10T09:37:49Z,3723,True,lebai-sdk,lebai-robotics/lebai-sdk,git@github.com:lebai-robotics/lebai-sdk.git,11
R_kgDOIXOMTw,2022-11-03T08:08:36Z,2026-04-29T15:03:55Z,2026-05-01T18:10:59Z,103874,False,transmission,templarundead/transmission,git@github.com:templarundead/transmission.git,0
R_kgDOIXKGjA,2022-11-03T04:07:36Z,2026-05-06T18:50:43Z,2026-05-06T18:50:34Z,50223,False,libultraship,Kenix3/libultraship,git@github.com:Kenix3/libultraship.git,297
R_kgDOIXBVTQ,2022-11-02T18:41:04Z,2026-05-06T07:51:27Z,2026-05-07T08:00:20Z,887,True,rialto-gstreamer,rdkcentral/rialto-gstreamer,git@github.com:rdkcentral/rialto-gstreamer.git,0
R_kgDOIXBHSQ,2022-11-02T18:29:55Z,2026-04-27T11:11:17Z,2026-05-01T01:34:06Z,332,True,rialto-ocdm,rdkcentral/rialto-ocdm,git@github.com:rdkcentral/rialto-ocdm.git,0
R_kgDOIXAqGg,2022-11-02T18:08:35Z,2026-05-06T07:51:23Z,2026-05-07T10:55:16Z,8230,True,rialto,rdkcentral/rialto,git@github.com:rdkcentral/rialto.git,5
R_kgDOIW4Xkw,2022-11-02T12:43:38Z,2026-05-07T08:23:13Z,2026-05-07T08:23:09Z,2338,False,falcon,cuihairu/falcon,git@github.com:cuihairu/falcon.git,4
R_kgDOIWfXsQ,2022-11-01T14:35:41Z,2026-04-13T23:48:49Z,2026-04-13T23:48:42Z,153,False,util,MG-5/util,git@github.com:MG-5/util.git,0
R_kgDOIWd5qw,2022-11-01T13:39:39Z,2026-05-06T17:34:26Z,2026-04-23T11:17:41Z,15888,False,bt,aloneguid/bt,git@github.com:aloneguid/bt.git,423
R_kgDOIWdAfA,2022-11-01T13:02:40Z,2026-04-21T22:59:34Z,2026-04-21T23:00:52Z,20620,False,libjupitermag,mattkjames7/libjupitermag,git@github.com:mattkjames7/libjupitermag.git,4
R_kgDOIUHJUw,2022-10-26T16:15:51Z,2026-05-06T04:22:57Z,2026-05-04T09:58:58Z,100577,True,openappsec,openappsec/openappsec,git@github.com:openappsec/openappsec.git,1611
R_kgDOITzeIw,2022-10-26T02:50:23Z,2026-05-05T07:39:15Z,2026-04-30T02:23:52Z,1042,True,linyaps-box,OpenAtom-Linyaps/linyaps-box,git@github.com:OpenAtom-Linyaps/linyaps-box.git,11
R_kgDOIS4yWA,2022-10-24T09:48:37Z,2026-05-07T10:27:51Z,2026-05-06T22:50:46Z,71093,True,shadPS4,shadps4-emu/shadPS4,git@github.com:shadps4-emu/shadPS4.git,31034
R_kgDOISymbw,2022-10-24T05:25:38Z,2026-03-12T20:05:28Z,2026-03-12T20:05:27Z,489,False,DNMD,AaronRobinsonMSFT/DNMD,git@github.com:AaronRobinsonMSFT/DNMD.git,21
R_kgDOISk88w,2022-10-23T16:52:03Z,2026-04-09T17:47:51Z,2026-04-09T17:48:52Z,7692,True,geoarrow-c,geoarrow/geoarrow-c,git@github.com:geoarrow/geoarrow-c.git,34
R_kgDOIRxYDQ,2022-10-21T18:06:37Z,2026-05-06T02:13:51Z,2026-04-29T16:49:42Z,538891,True,bigwheels,google/bigwheels,git@github.com:google/bigwheels.git,106
R_kgDOIRrO2Q,2022-10-21T14:09:56Z,2026-04-08T19:56:09Z,2026-04-08T19:56:02Z,2089,True,llfs,mathworks/llfs,git@github.com:mathworks/llfs.git,16
R_kgDOIQpj0A,2022-10-19T16:20:55Z,2026-05-06T19:00:44Z,2026-05-06T19:00:56Z,66392,True,ST-LIB,Hyperloop-UPV/ST-LIB,git@github.com:Hyperloop-UPV/ST-LIB.git,10
R_kgDOIPNDKA,2022-10-17T09:11:20Z,2026-04-01T16:38:58Z,2026-04-29T15:04:14Z,10708,False,kmindex,tlemane/kmindex,git@github.com:tlemane/kmindex.git,48
R_kgDOIOXdDA,2022-10-15T12:35:52Z,2026-05-05T22:00:34Z,2026-05-05T22:26:42Z,798,True,TulipHook,geode-sdk/TulipHook,git@github.com:geode-sdk/TulipHook.git,30
R_kgDOINkmkg,2022-10-13T21:01:20Z,2026-04-29T20:53:55Z,2026-05-06T11:17:41Z,17993,True,TonUINO-TNG,tonuino/TonUINO-TNG,git@github.com:tonuino/TonUINO-TNG.git,189
R_kgDOINSgNw,2022-10-13T11:03:00Z,2026-04-24T12:34:10Z,2026-04-24T12:34:18Z,841,True,mwr,machineware-gmbh/mwr,git@github.com:machineware-gmbh/mwr.git,9
R_kgDOINNfqA,2022-10-13T08:15:02Z,2026-04-28T06:55:29Z,2026-04-28T06:56:32Z,28372,True,QDD,Fujitsu-UTokyo-QDD/QDD,git@github.com:Fujitsu-UTokyo-QDD/QDD.git,13
R_kgDOIMfLYg,2022-10-12T02:12:56Z,2026-04-11T14:18:00Z,2026-04-11T14:15:54Z,4130893,True,mytopling,topling/mytopling,git@github.com:topling/mytopling.git,24
R_kgDOIJNyOg,2022-10-06T08:24:28Z,2026-04-24T05:17:07Z,2026-05-07T08:00:45Z,308,False,fixed_solvers,victorsouth/fixed_solvers,git@github.com:victorsouth/fixed_solvers.git,0
R_kgDOII_tVg,2022-10-05T21:48:50Z,2026-03-26T17:49:21Z,2026-05-06T19:02:38Z,22758,False,Frasy,smartel99/Frasy,git@github.com:smartel99/Frasy.git,7
R_kgDOIFwc8g,2022-09-29T03:57:11Z,2026-04-21T11:34:14Z,2026-05-07T05:40:20Z,22634,True,NotDec,NotDec/NotDec,git@github.com:NotDec/NotDec.git,92
R_kgDOIFteXg,2022-09-29T01:10:49Z,2026-05-06T01:50:15Z,2026-05-06T01:50:11Z,7285,True,pulsar-client-cpp,apache/pulsar-client-cpp,git@github.com:apache/pulsar-client-cpp.git,69
R_kgDOIFpXXw,2022-09-28T21:01:39Z,2026-05-06T21:45:01Z,2026-05-06T21:44:56Z,74059,True,hiero-sdk-cpp,hiero-ledger/hiero-sdk-cpp,git@github.com:hiero-ledger/hiero-sdk-cpp.git,41
R_kgDOIDHpkQ,2022-09-22T19:37:38Z,2026-05-03T06:45:35Z,2026-05-06T21:01:45Z,17583,True,au,aurora-opensource/au,git@github.com:aurora-opensource/au.git,423
R_kgDOICnWkQ,2022-09-21T17:41:05Z,2026-04-28T11:51:25Z,2026-05-05T03:02:08Z,1417,True,IOManager,eBay/IOManager,git@github.com:eBay/IOManager.git,12
R_kgDOICiD3w,2022-09-21T14:18:21Z,2026-05-05T14:20:47Z,2026-05-05T14:18:32Z,868,True,linear-feedback-controller,loco-3d/linear-feedback-controller,git@github.com:loco-3d/linear-feedback-controller.git,9
R_kgDOICatBA,2022-09-21T09:25:05Z,2026-04-21T02:54:05Z,2026-04-21T02:54:01Z,24461,False,spiderweb,paopaol/spiderweb,git@github.com:paopaol/spiderweb.git,0
R_kgDOICTb9Q,2022-09-21T03:23:00Z,2026-05-05T20:38:21Z,2026-05-05T20:52:46Z,1166,True,databento-cpp,databento/databento-cpp,git@github.com:databento/databento-cpp.git,76
R_kgDOICBn5g,2022-09-20T13:09:02Z,2026-05-06T08:44:47Z,2026-05-05T18:30:39Z,20437,True,ouster-ros,ouster-lidar/ouster-ros,git@github.com:ouster-lidar/ouster-ros.git,199
R_kgDOIBeOeA,2022-09-19T08:56:45Z,2026-05-03T13:44:36Z,2026-03-23T04:30:22Z,6298,False,ml-kem,itzmeanjan/ml-kem,git@github.com:itzmeanjan/ml-kem.git,133
R_kgDOIBdcrg,2022-09-19T08:22:40Z,2026-05-07T02:59:58Z,2026-03-23T12:06:55Z,1418,True,rucbase-lab,ruc-deke/rucbase-lab,git@github.com:ruc-deke/rucbase-lab.git,240
R_kgDOH_5oPA,2022-09-14T21:33:39Z,2026-05-06T16:45:06Z,2026-05-06T16:45:03Z,1376,True,maliput_osm,maliput/maliput_osm,git@github.com:maliput/maliput_osm.git,2
R_kgDOH_KGhw,2022-09-13T06:25:37Z,2026-03-05T05:05:45Z,2026-03-22T18:39:39Z,6204,False,sha3,itzmeanjan/sha3,git@github.com:itzmeanjan/sha3.git,16
R_kgDOH-_EhA,2022-09-12T18:50:32Z,2026-03-26T21:16:47Z,2026-03-26T21:16:42Z,4520,True,fhe-deck-core,FHE-Deck/fhe-deck-core,git@github.com:FHE-Deck/fhe-deck-core.git,16
R_kgDOH95FEQ,2022-09-09T13:45:30Z,2026-04-27T14:12:15Z,2026-04-27T14:11:53Z,18118,False,core,HUD-Software/core,git@github.com:HUD-Software/core.git,0
R_kgDOH9wLLg,2022-09-09T05:45:46Z,2026-03-16T05:59:15Z,2026-03-16T05:59:10Z,551,True,dtkdevice,linuxdeepin/dtkdevice,git@github.com:linuxdeepin/dtkdevice.git,4
R_kgDOH77hCA,2022-09-04T17:02:59Z,2026-04-03T07:00:17Z,2026-04-03T07:00:13Z,1975,False,TrafficFlow,ninja7v/TrafficFlow,git@github.com:ninja7v/TrafficFlow.git,2
R_kgDOH6w6Yw,2022-09-01T05:47:33Z,2026-05-07T11:04:25Z,2026-05-06T09:03:02Z,15228,True,sherpa-onnx,k2-fsa/sherpa-onnx,git@github.com:k2-fsa/sherpa-onnx.git,12068
R_kgDOH6m3PQ,2022-08-31T18:47:47Z,2026-05-04T17:05:06Z,2026-05-04T17:09:56Z,49097,True,kynema-fmb,kynema/kynema-fmb,git@github.com:kynema/kynema-fmb.git,36
R_kgDOH6Uqtw,2022-08-31T03:11:10Z,2026-05-07T03:52:43Z,2026-05-07T02:04:35Z,30503,True,CraneSched,PKUHPC/CraneSched,git@github.com:PKUHPC/CraneSched.git,138
R_kgDOH5_2tA,2022-08-30T09:02:58Z,2026-05-05T07:01:35Z,2026-05-05T07:01:52Z,14544,True,LAPIS-SILO,GenSpectrum/LAPIS-SILO,git@github.com:GenSpectrum/LAPIS-SILO.git,19
R_kgDOH5PL8g,2022-08-28T06:18:01Z,2026-05-03T04:30:15Z,2026-03-11T08:36:10Z,240204,True,iEDA,OSCC-Project/iEDA,git@github.com:OSCC-Project/iEDA.git,504
R_kgDOH4ZCMw,2022-08-25T14:41:44Z,2026-05-04T21:16:28Z,2026-05-04T21:16:24Z,6340,True,pigweed,mayhemheroes/pigweed,git@github.com:mayhemheroes/pigweed.git,0
R_kgDOH4RWHw,2022-08-25T08:46:43Z,2026-05-06T08:21:03Z,2026-03-31T03:18:27Z,222862,True,tugraph-db,TuGraph-family/tugraph-db,git@github.com:TuGraph-family/tugraph-db.git,1730
R_kgDOH3u7fQ,2022-08-24T00:03:01Z,2026-04-10T10:38:46Z,2026-04-10T10:38:41Z,507,True,substrait-cpp,substrait-io/substrait-cpp,git@github.com:substrait-io/substrait-cpp.git,17
R_kgDOH3kZ1Q,2022-08-23T14:33:52Z,2026-04-16T10:33:59Z,2026-04-16T10:33:53Z,8891,True,SPLed,avengineers/SPLed,git@github.com:avengineers/SPLed.git,7
R_kgDOH3Xh8w,2022-08-23T03:30:37Z,2026-05-06T01:51:44Z,2026-03-31T23:06:00Z,31482,True,CV-CUDA,CVCUDA/CV-CUDA,git@github.com:CVCUDA/CV-CUDA.git,2680
R_kgDOH3HY1A,2022-08-22T12:28:42Z,2026-03-25T04:12:38Z,2026-03-25T04:12:35Z,935,True,BaselineFootstepPlanner,isri-aist/BaselineFootstepPlanner,git@github.com:isri-aist/BaselineFootstepPlanner.git,24
R_kgDOH2M0Qw,2022-08-19T12:17:10Z,2026-04-20T11:22:17Z,2026-04-30T15:57:54Z,340,True,lpp,ethz-asl/lpp,git@github.com:ethz-asl/lpp.git,40
R_kgDOH0r4gg,2022-08-15T13:55:11Z,2026-04-21T07:29:12Z,2026-04-22T10:30:35Z,7527,True,safeheron-crypto-suites-cpp,Safeheron/safeheron-crypto-suites-cpp,git@github.com:Safeheron/safeheron-crypto-suites-cpp.git,37
R_kgDOH0rmLw,2022-08-15T13:41:37Z,2026-03-16T09:34:14Z,2026-03-16T09:34:06Z,2022,True,openal-soft,deepin-community/openal-soft,git@github.com:deepin-community/openal-soft.git,0
R_kgDOH0moYw,2022-08-15T09:08:05Z,2026-04-22T02:33:10Z,2026-04-22T02:32:39Z,129182,True,inkscape,deepin-community/inkscape,git@github.com:deepin-community/inkscape.git,0
R_kgDOH0ku5A,2022-08-15T07:13:50Z,2026-05-06T18:26:27Z,2026-05-06T18:26:22Z,556,True,llvm-dialects,GPUOpen-Drivers/llvm-dialects,git@github.com:GPUOpen-Drivers/llvm-dialects.git,23
R_kgDOHztktA,2022-08-12T06:54:56Z,2026-04-28T15:00:58Z,2026-05-02T04:30:27Z,163051,False,bess,shivang51/bess,git@github.com:shivang51/bess.git,71
R_kgDOHzjBiw,2022-08-11T17:33:32Z,2026-04-15T22:05:58Z,2026-04-15T22:06:51Z,2614,True,sjef,molpro/sjef,git@github.com:molpro/sjef.git,3
R_kgDOHzPilQ,2022-08-10T20:54:25Z,2026-05-06T21:14:43Z,2026-05-06T15:05:07Z,5746,True,fuzztest,google/fuzztest,git@github.com:google/fuzztest.git,998
R_kgDOHypohA,2022-08-09T08:53:24Z,2026-04-30T12:39:24Z,2026-05-01T03:56:38Z,349730,True,LoAT,LoAT-developers/LoAT,git@github.com:LoAT-developers/LoAT.git,9
R_kgDOHxwI0Q,2022-08-06T11:42:45Z,2026-04-21T11:32:03Z,2026-04-06T16:09:17Z,513,False,rosx_introspection,facontidavide/rosx_introspection,git@github.com:facontidavide/rosx_introspection.git,96
R_kgDOHw44Mw,2022-08-03T20:40:33Z,2026-05-04T11:13:10Z,2026-05-04T11:13:07Z,69300,True,networking-recipe,ipdk-io/networking-recipe,git@github.com:ipdk-io/networking-recipe.git,41
R_kgDOHwZEtA,2022-08-02T13:13:49Z,2026-05-06T16:54:20Z,2026-05-06T16:54:17Z,292,True,maliput_sparse,maliput/maliput_sparse,git@github.com:maliput/maliput_sparse.git,0
R_kgDOHv1_Cg,2022-08-01T01:40:37Z,2026-05-01T15:51:15Z,2026-05-01T15:51:11Z,172,True,hatchbed_common,hatchbed/hatchbed_common,git@github.com:hatchbed/hatchbed_common.git,4
R_kgDOHvpHkw,2022-07-31T08:25:09Z,2026-04-30T07:48:08Z,2026-04-04T18:52:59Z,137167,False,om,leanid/om,git@github.com:leanid/om.git,14
R_kgDOHvfh1g,2022-07-30T16:06:56Z,2026-04-29T08:20:06Z,2026-04-29T08:22:54Z,1037223,True,augmented-carpentry,ibois-epfl/augmented-carpentry,git@github.com:ibois-epfl/augmented-carpentry.git,15
R_kgDOHvX02Q,2022-07-30T06:14:10Z,2026-05-06T06:10:24Z,2026-03-25T02:50:36Z,10948,True,BaselineWalkingController,isri-aist/BaselineWalkingController,git@github.com:isri-aist/BaselineWalkingController.git,163
R_kgDOHufgUA,2022-07-27T15:25:30Z,2026-05-07T03:18:49Z,2026-05-07T03:18:45Z,1921,False,aurora,encounter/aurora,git@github.com:encounter/aurora.git,151
R_kgDOHuefSQ,2022-07-27T14:40:23Z,2026-05-07T07:52:42Z,2026-05-07T09:27:47Z,26230,True,InfiniTensor,InfiniTensor/InfiniTensor,git@github.com:InfiniTensor/InfiniTensor.git,309
R_kgDOHt6JXA,2022-07-26T03:33:49Z,2026-05-04T20:39:22Z,2026-05-04T20:39:18Z,6319,True,dynolog,facebookincubator/dynolog,org-19538647@github.com:facebookincubator/dynolog.git,371
R_kgDOHtw7dQ,2022-07-25T16:57:06Z,2026-05-07T01:27:41Z,2026-05-07T10:45:03Z,17529,True,libpldm,openbmc/libpldm,git@github.com:openbmc/libpldm.git,14
R_kgDOHtjEmQ,2022-07-25T04:56:11Z,2026-04-30T07:48:26Z,2026-04-09T05:54:47Z,18300,True,iterative-solver,molpro/iterative-solver,git@github.com:molpro/iterative-solver.git,1
R_kgDOHs2lEQ,2022-07-22T15:07:33Z,2026-04-13T01:41:40Z,2026-03-04T16:11:24Z,367,True,wazuh-http-request,wazuh/wazuh-http-request,git@github.com:wazuh/wazuh-http-request.git,10
R_kgDOHs1IRQ,2022-07-22T13:56:14Z,2026-03-23T12:16:22Z,2026-03-24T20:03:50Z,279,True,molpro-plugin,molpro/molpro-plugin,git@github.com:molpro/molpro-plugin.git,0
R_kgDOHsVv8Q,2022-07-21T06:42:29Z,2026-05-01T15:54:57Z,2026-05-01T15:54:53Z,99603,False,Teeworlds-MRPG-0.6,kurosio/Teeworlds-MRPG-0.6,git@github.com:kurosio/Teeworlds-MRPG-0.6.git,13
R_kgDOHsNfZg,2022-07-20T20:08:31Z,2026-05-05T22:28:57Z,2026-05-05T22:28:53Z,5819,True,zenux-services,ZeraGmbH/zenux-services,git@github.com:ZeraGmbH/zenux-services.git,1
R_kgDOHrbFYg,2022-07-18T18:17:01Z,2026-05-06T12:02:14Z,2026-04-22T13:23:25Z,11076,True,linux-npu-driver,intel/linux-npu-driver,git@github.com:intel/linux-npu-driver.git,416
R_kgDOHrVm_A,2022-07-18T13:52:38Z,2026-05-07T11:11:08Z,2026-05-06T15:02:36Z,80665,True,infinity,infiniflow/infinity,git@github.com:infiniflow/infinity.git,4503
R_kgDOHrDzRA,2022-07-17T17:38:37Z,2026-05-04T02:46:05Z,2026-05-02T19:35:09Z,1356,True,Nui,NuiCpp/Nui,git@github.com:NuiCpp/Nui.git,215
R_kgDOHqo9cA,2022-07-16T04:08:59Z,2026-04-22T00:04:51Z,2026-04-22T00:04:47Z,9720,False,BoredGameEngine,duc0905/BoredGameEngine,git@github.com:duc0905/BoredGameEngine.git,8
R_kgDOHn2hsA,2022-07-07T14:00:21Z,2026-05-06T04:54:36Z,2026-04-13T07:52:42Z,1801,True,xad,auto-differentiation/xad,git@github.com:auto-differentiation/xad.git,415
R_kgDOHnEg0Q,2022-07-05T12:38:52Z,2026-04-17T05:47:29Z,2026-03-16T12:24:23Z,14655,True,RobotecGPULidar,RobotecAI/RobotecGPULidar,git@github.com:RobotecAI/RobotecGPULidar.git,282
R_kgDOHmsvZQ,2022-07-04T11:58:48Z,2026-04-16T12:02:26Z,2026-04-16T12:21:36Z,1605,True,oneseismic-api,equinor/oneseismic-api,git@github.com:equinor/oneseismic-api.git,5
R_kgDOHlyFfQ,2022-07-01T08:35:03Z,2026-05-04T15:24:14Z,2026-05-04T15:26:05Z,4778,True,ansys-tools-filetransfer-server,ansys/ansys-tools-filetransfer-server,git@github.com:ansys/ansys-tools-filetransfer-server.git,1
R_kgDOHlW0pA,2022-06-30T04:31:42Z,2026-04-26T09:10:20Z,2026-05-06T22:13:42Z,289085,False,CrystalEngine,neilmewada/CrystalEngine,git@github.com:neilmewada/CrystalEngine.git,295
R_kgDOHlRatQ,2022-06-29T21:01:31Z,2026-03-04T03:40:44Z,2026-03-24T18:33:59Z,45556,False,Spectral_Display_GUI,1killerbehindyou1/Spectral_Display_GUI,git@github.com:1killerbehindyou1/Spectral_Display_GUI.git,0
R_kgDOHlE26w,2022-06-29T10:07:46Z,2026-04-27T13:28:47Z,2026-04-27T13:28:32Z,167132,True,boringssl,aegis-aead/boringssl,git@github.com:aegis-aead/boringssl.git,9
R_kgDOHkhp6g,2022-06-27T21:07:05Z,2026-05-07T01:12:34Z,2026-05-07T01:12:30Z,137766,True,unified-runtime,oneapi-src/unified-runtime,git@github.com:oneapi-src/unified-runtime.git,54
R_kgDOHkUVOg,2022-06-27T09:26:47Z,2026-05-07T09:49:46Z,2026-05-07T10:27:52Z,16119,True,sil-kit,vectorgrp/sil-kit,git@github.com:vectorgrp/sil-kit.git,203
